molecule_chembl_id,canonical_smiles,value
CHEMBL477393,CCCN(CC1CC1)c1nc(NC(C)c2ccccc2)ncc1C#N,550.0
CHEMBL477604,COc1cccc(Nc2nc(NC(C)c3ccccc3)ncc2C#N)c1,580.0
CHEMBL477605,CC(Nc1ncc(C#N)c(N2CCc3ccccc3C2)n1)c1ccccc1,750.0
CHEMBL476145,CC(C)(C)c1ccc(Nc2nc(NCc3cccnc3)ncc2-c2nn[nH]n2)cc1,960.0
CHEMBL476146,c1csc(CCNc2ncc(-c3nn[nH]n3)c(Nc3ccc4c(c3)OCCO4)n2)c1,1040.0
CHEMBL518265,O=[N+]([O-])c1ccc(Nc2nccc(-c3cccc([N+](=O)[O-])c3)n2)cc1,6500.0
CHEMBL455343,CC(=O)Nc1cccc(-c2ccnc(Nc3ccc(O)cc3)n2)c1,6900.0
CHEMBL504667,Clc1ccc(Nc2nccc(-c3cccc(Cl)c3)n2)cc1,8700.0
CHEMBL516429,N[C@H](COc1cncc(-c2cc3ccncc3s2)c1)Cc1c[nH]c2ccccc12,10000.0
CHEMBL28626,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,12600.0
CHEMBL477615,CCCOC(=O)/C(C#N)=c1\s/c(=C/Nc2ccc(O)cc2)c(=O)n1CC,36.0
CHEMBL477616,CCOC(=O)/C(C#N)=c1\s/c(=C/Nc2ccc(NC(=O)NCCN3CCCC3)cc2)c(=O)n1CC,37.0
CHEMBL503480,CCOC(=O)/C(C#N)=c1\s/c(=C/Nc2cccc(C)c2)c(=O)n1CC,46.0
CHEMBL476575,CCOC(=O)/C(C#N)=c1\s/c(=C/Nc2ccc(C(C)=O)cc2)c(=O)n1CC,81.0
CHEMBL476782,CCn1c(=O)/c(=C\Nc2cccc(NC(=O)C(C)(C)C)c2)s/c1=C(/C#N)C(=O)NC1(CO)CCCC1,190.0
CHEMBL475946,CCNC(=O)/C(C#N)=c1\s/c(=C/Nc2cccc(C(=O)NCCCN3CCCC3)c2)c(=O)n1CC,345.0
CHEMBL475947,FC(F)(F)c1ccc(Nc2nc(NCc3cccnc3)ncc2-c2nn[nH]n2)cc1,490.0
CHEMBL516582,CCOC(=O)/C(C#N)=c1\s/c(=C/Nc2ccc(NC(=O)COC)cc2)c(=O)n1CC,500.0
CHEMBL478892,CC(Nc1ncc(C#N)c(OCC2CCCCO2)n1)c1ccccc1,1600.0
CHEMBL476123,CCCN(CC1CC1)c1nc(NCc2ccc3c(c2)OCO3)ncc1C#N,1600.0
CHEMBL507146,O=C1C(C2=C3C(=Nc4ccccc43)/C(=C\c3ccc(O)cc3)C2=O)=C2C(=Nc3ccccc32)/C1=C\c1ccc(O)cc1,2000.0
CHEMBL476124,NC(=O)c1sc2c([N+](=O)[O-])cc(C(F)(F)F)cc2[n+]1[O-],2400.0
CHEMBL442957,Cc1nc(C)c(-c2ccnc(Nc3ccc(O)cc3)n2)s1,5000.0
CHEMBL476125,Nc1cccc(-c2ccnc(Nc3ccc(O)cc3)n2)c1,7800.0
CHEMBL47590,CNc1nc(C)c(-c2ccnc(Nc3ccc(O)cc3)n2)s1,10000.0
CHEMBL492008,N#Cc1cc([N+](=O)[O-])c2sc(C(N)=O)[n+]([O-])c2c1,10000.0
CHEMBL526709,CNc1cccc(-c2ccnc(Nc3ccc(O)cc3)n2)c1,13700.0
CHEMBL450653,N#Cc1sc2c([N+](=O)[O-])cc(C(F)(F)F)cc2[n+]1[O-],21000.0
CHEMBL492009,O=[N+]([O-])c1cc(C(F)(F)F)cc2c1sc(O)[n+]2[O-],39000.0
CHEMBL523487,O=C(c1sc2c([N+](=O)[O-])cc(C(F)(F)F)cc2[n+]1[O-])N1CCCC1,56000.0
CHEMBL50,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,64000.0
CHEMBL525907,Cc1nn(-c2ccccc2)c2cc(N[C@@H](C)c3ccccc3)ncc12,1301.0
CHEMBL478028,Cc1nn(-c2cccc(Cl)c2)c2cc(N[C@@H](C)c3ccccc3)ncc12,121.0
CHEMBL522125,C[C@H](Nc1cc2c(C3CCCN(CCC(N)=O)C3)noc2cn1)c1ccccc1,7479.0
CHEMBL491193,CC1CCCCC1c1noc2cnc(N[C@@H](C)c3ccccc3)cc12,5689.0
CHEMBL523634,Cc1cscc1-c1noc2cnc(N[C@@H](C)c3ccccc3)cc12,779.0
CHEMBL490992,C[C@H](Nc1cc2c(-c3cccs3)noc2cn1)c1ccccc1,3007.0
CHEMBL491022,C[C@H](Nc1cc2c(Cc3ccccc3)noc2cn1)c1ccccc1,20000.0
CHEMBL491021,C[C@H](Nc1cc2c(-c3cc(Cl)cc(CCC(N)=O)c3)noc2cn1)c1ccccc1,51.0
CHEMBL490814,C[C@H](Nc1cc2c(-c3cc(Cl)cc(CCCO)c3)noc2cn1)c1ccccc1,99.0
CHEMBL522618,C[C@H](Nc1cc2c(-c3ccc4c(c3)OCO4)noc2cn1)c1ccccc1,214.0
CHEMBL491621,COc1ccc(-c2noc3cnc(N[C@@H](C)c4ccccc4)cc23)cc1OC,4927.0
CHEMBL523286,C[C@H](Nc1cc2c(-c3cccc(Cl)c3)noc2cn1)c1ccccc1,625.0
CHEMBL489993,Cc1cc(C)cc(-c2noc3cnc(N[C@@H](C)c4ccccc4)cc23)c1,330.0
CHEMBL521761,Cc1ccc(-c2noc3cnc(N[C@@H](C)c4ccccc4)cc23)cc1,1170.0
CHEMBL489992,Cc1cccc(-c2noc3cnc(N[C@@H](C)c4ccccc4)cc23)c1,549.0
CHEMBL452932,C[C@H](Nc1cc2c(-c3ccccc3)noc2cn1)c1ccccc1,1616.0
CHEMBL481724,NC(=O)c1sc(-n2cnc3ccccc32)cc1OCc1ccccc1,61.0
CHEMBL518956,Cc1ccccc1COc1cc(-n2cnc3ccccc32)sc1C(N)=O,12.0
CHEMBL449608,Cc1cccc(COc2cc(-n3cnc4ccccc43)sc2C(N)=O)c1,12.0
CHEMBL454196,Cc1ccc(COc2cc(-n3cnc4ccccc43)sc2C(N)=O)cc1,70.0
CHEMBL475597,COc1ccccc1COc1cc(-n2cnc3ccccc32)sc1C(N)=O,12.0
CHEMBL516248,COc1cccc(COc2cc(-n3cnc4ccccc43)sc2C(N)=O)c1,28.0
CHEMBL474437,COc1ccc(COc2cc(-n3cnc4ccccc43)sc2C(N)=O)cc1,35.0
CHEMBL474603,NC(=O)c1sc(-n2cnc3ccccc32)cc1OCc1ccccc1Cl,12.0
CHEMBL445277,NC(=O)c1sc(-n2cnc3ccccc32)cc1OCc1cccc(Cl)c1,22.0
CHEMBL481156,NC(=O)c1sc(-n2cnc3ccccc32)cc1OCc1ccc(Cl)cc1,100.0
CHEMBL481491,NC(=O)c1sc(-n2cnc3ccccc32)cc1OCc1ccccc1C(F)(F)F,15.0
CHEMBL518953,NC(=O)c1sc(-n2cnc3ccccc32)cc1OCc1ccccc1Br,11.0
CHEMBL508763,NC(=O)c1sc(-n2cnc3ccccc32)cc1OCc1ccccc1F,14.0
CHEMBL481492,Cc1ccccc1COc1cc(-n2cnc3cc(Cl)ccc32)sc1C(N)=O,21.0
CHEMBL519120,Cc1ccccc1COc1cc(-n2cnc3ccc(Cl)cc32)sc1C(N)=O,4.0
CHEMBL480371,NC(=O)c1sc(-n2cnc3cc(C(F)(F)F)ccc32)cc1OCc1ccccc1Br,300.0
CHEMBL481510,NC(=O)c1sc(-n2cnc3ccc(C(F)(F)F)cc32)cc1OCc1ccccc1Br,9.0
CHEMBL519289,CS(=O)(=O)c1ccc2c(c1)ncn2-c1cc(OCc2ccccc2C(F)(F)F)c(C(N)=O)s1,250.0
CHEMBL514826,CS(=O)(=O)c1ccc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(C(N)=O)s3)c2c1,12.0
CHEMBL514968,COc1ccc2c(c1)ncn2-c1cc(OCc2ccccc2C(F)(F)F)c(C(N)=O)s1,8.0
